Mode    UserNam    Mod Time     Size      Path
16877   tbroderi   2019-02-03   146       Week1
33152   tbroderi   2019-02-02   1469      Week1/shell_commands.txt
33152   tbroderi   2019-02-02   2268      Week1/myscript_output.txt
33152   tbroderi   2019-02-02   385       Week1/myscript.rb
33188   tbroderi   2019-02-02   5743      Week1/irb_output.txt
33188   tbroderi   2019-02-02   724       Week1/blastoff_output.txt
33188   tbroderi   2019-02-02   244       Week1/blastoff.rb
33152   tbroderi   2019-02-06   1915      onestring.rb
16832   tbroderi   2019-02-09   70        Week2
33152   tbroderi   2019-02-06   1061      Week2/shell_commands.txt
33152   tbroderi   2019-02-09   2403      Week2/lab1.rb
33152   tbroderi   2019-02-09   11058     Week2/lab1_output.txt
16877   tbroderi   2019-02-15   57        Week3
33188   tbroderi   2019-02-15   1208      Week3/email_template.rb
33152   tbroderi   2019-02-15   666       Week3/email_template.txt
16877   tbroderi   2019-03-03   104       Week4
33188   tbroderi   2019-02-19   3766      Week4/arr2cols.rb
33188   tbroderi   2019-02-19   1624      Week4/arr_methods.rb
33188   tbroderi   2019-03-03   21764     Week4/arr_methods_output.txt
33188   tbroderi   2019-03-03   3241      Week4/arr2cols_output.txt
16877   tbroderi   2019-03-05   141       Week5
33188   tbroderi   2019-03-05   1822      Week5/palindrome_test.rb
33188   tbroderi   2019-03-03   15449     Week5/oliver.txt
33188   tbroderi   2019-03-05   1202      Week5/anagram_function.rb
33188   tbroderi   2019-03-05   1428      Week5/sentence_paragraph_counter.rb
33152   tbroderi   2019-03-05   1819      Week5/week5_exercises.txt
16877   tbroderi   2019-03-10   93        Week6
33188   tbroderi   2019-03-06   4255      Week6/stop_words.txt
33188   tbroderi   2019-03-10   7809      Week6/lab3.rb
16877   tbroderi   2019-03-10   4096      Week6/inaugural_addresses
33188   tbroderi   2019-03-10   14966     Week6/inaugural_addresses/rutherford_b._hayes_inaugural_address.txt
33188   tbroderi   2019-03-10   26370     Week6/inaugural_addresses/james_monroe_second_inaugural_address.txt
33188   tbroderi   2019-03-10   7581      Week6/inaugural_addresses/franklin_d._roosevelt_third_inaugural_address.txt
33188   tbroderi   2019-03-10   6539      Week6/inaugural_addresses/ulysses_s._grant_first_inaugural_address.txt
33188   tbroderi   2019-03-10   32205     Week6/inaugural_addresses/william_howard_taft_inaugural_address.txt
33188   tbroderi   2019-03-10   23985     Week6/inaugural_addresses/calvin_coolidge_inaugural_address.txt
33188   tbroderi   2019-03-10   16848     Week6/inaugural_addresses/james_buchanan_inaugural_address.txt
33188   tbroderi   2019-03-10   9193      Week6/inaugural_addresses/dwight_d._eisenhower_second_inaugural_address.txt
33188   tbroderi   2019-03-10   9253      Week6/inaugural_addresses/william_jefferson_clinton_first_inaugural_address.txt
33188   tbroderi   2019-03-10   13771     Week6/inaugural_addresses/ronald_reagan_first_inaugural_address.txt
33188   tbroderi   2019-03-10   9107      Week6/inaugural_addresses/george_w._bush_first_inaugural_address.txt
33188   tbroderi   2019-03-10   9606      Week6/inaugural_addresses/woodrow_wilson_first_inaugural_address.txt
33188   tbroderi   2019-03-10   26218     Week6/inaugural_addresses/benjamin_harrison_inaugural_address.txt
33188   tbroderi   2019-03-10   10185     Week6/inaugural_addresses/grover_cleveland_first_inaugural_address.txt
33188   tbroderi   2019-03-10   10641     Week6/inaugural_addresses/franklin_d._roosevelt_second_inaugural_address.txt
33188   tbroderi   2019-03-10   8665      Week6/inaugural_addresses/george_washington_first_inaugural_address.txt
33188   tbroderi   2019-03-10   7773      Week6/inaugural_addresses/ulysses_s._grant_second_inaugural_address.txt
33188   tbroderi   2019-03-10   10008     Week6/inaugural_addresses/richard_milhous_nixon_second_inaugural_address.txt
33188   tbroderi   2019-03-10   49745     Week6/inaugural_addresses/william_henry_harrison_inaugural_address.txt
33188   tbroderi   2019-03-10   8223      Week6/inaugural_addresses/lyndon_baines_johnson_inaugural_address.txt
33188   tbroderi   2019-03-10   13977     Week6/inaugural_addresses/dwight_d._eisenhower_first_inaugural_address.txt
33188   tbroderi   2019-03-10   21049     Week6/inaugural_addresses/abraham_lincoln_first_inaugural_address.txt
33188   tbroderi   2019-03-10   6907      Week6/inaugural_addresses/jimmy_carter_inaugural_address.txt
33188   tbroderi   2019-03-10   6856      Week6/inaugural_addresses/andrew_jackson_first_inaugural_address.txt
33188   tbroderi   2019-03-10   7199      Week6/inaugural_addresses/james_madison_second_inaugural_address.txt
33188   tbroderi   2019-03-10   23697     Week6/inaugural_addresses/william_mckinley_first_inaugural_address.txt
33188   tbroderi   2019-03-10   6639      Week6/inaugural_addresses/zachary_taylor_inaugural_address.txt
33188   tbroderi   2019-03-10   23444     Week6/inaugural_addresses/martin_van_buren_inaugural_address.txt
33188   tbroderi   2019-03-10   13906     Week6/inaugural_addresses/john_adams_inaugural_address.txt
33188   tbroderi   2019-03-10   13409     Week6/inaugural_addresses/barack_obama_first_inaugural_address.txt
33188   tbroderi   2019-03-10   7601      Week6/inaugural_addresses/john_f._kennedy_inaugural_address.txt
33188   tbroderi   2019-03-10   13700     Week6/inaugural_addresses/harry_s._truman_inaugural_address.txt
33188   tbroderi   2019-03-10   17804     Week6/inaugural_addresses/james_a._garfield_inaugural_address.txt
33188   tbroderi   2019-03-10   13475     Week6/inaugural_addresses/william_mckinley_second_inaugural_address.txt
33188   tbroderi   2019-03-10   8431      Week6/inaugural_addresses/woodrow_wilson_second_inaugural_address.txt
33188   tbroderi   2019-03-10   10169     Week6/inaugural_addresses/thomas_jefferson_first_inaugural_address.txt
33188   tbroderi   2019-03-10   20331     Week6/inaugural_addresses/warren_g._harding_inaugural_address.txt
33188   tbroderi   2019-03-10   3970      Week6/inaugural_addresses/abraham_lincoln_second_inaugural_address.txt
